query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
v12,1,data/processed/frames_v12_1fps/frame_000001.jpg,v11,24879,15.593941164074662,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,1,0.9769362807273865,638,624,0.9780564263322884,15.593941164074662
v12,31,data/processed/frames_v12_1fps/frame_000002.jpg,v11,24849,34.94522591448071,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,2,0.9685695171356201,528,503,0.9526515151515151,24.545604482918943
v12,61,data/processed/frames_v12_1fps/frame_000003.jpg,v11,24879,34.29486117271543,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,1,0.9671294689178467,449,397,0.8841870824053452,34.29486117271543
v12,91,data/processed/frames_v12_1fps/frame_000004.jpg,v11,24879,44.07090139950715,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,1,0.9665573239326477,363,306,0.8429752066115702,44.07090139950715
v12,121,data/processed/frames_v12_1fps/frame_000005.jpg,v11,24879,53.72008046839886,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,1,0.9579671025276184,318,239,0.7515723270440252,53.72008046839886
v12,151,data/processed/frames_v12_1fps/frame_000006.jpg,v11,24879,63.59903568546805,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,1,0.9576807618141174,230,174,0.7565217391304347,63.59903568546805
v12,181,data/processed/frames_v12_1fps/frame_000007.jpg,v11,24879,73.45544864707631,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,1,0.9531471133232117,174,121,0.6954022988505747,73.45544864707631
v12,211,data/processed/frames_v12_1fps/frame_000008.jpg,v11,24879,83.39180059438137,v11,24879,data/processed/frames_v11_1fps/frame_000831.jpg,1,0.9562572836875916,142,88,0.6197183098591549,83.39180059438137
v12,241,data/processed/frames_v12_1fps/frame_000009.jpg,v11,24879,93.24445774879779,v11,21582,data/processed/frames_v11_1fps/frame_000721.jpg,9,0.9500748515129089,169,71,0.42011834319526625,93.49727007139535
v12,271,data/processed/frames_v12_1fps/frame_000010.jpg,v13,23230,247.1452340869044,v11,21672,data/processed/frames_v11_1fps/frame_000724.jpg,4,0.9522135257720947,250,115,0.46,82.45358483593307
v12,301,data/processed/frames_v12_1fps/frame_000011.jpg,v11,24879,111.95836770826803,v11,21761,data/processed/frames_v11_1fps/frame_000727.jpg,6,0.9512722492218018,392,177,0.45153061224489793,70.0320065412885
v12,331,data/processed/frames_v12_1fps/frame_000012.jpg,v11,21731,65.8693341881312,v11,21761,data/processed/frames_v11_1fps/frame_000727.jpg,2,0.9663537740707397,414,192,0.463768115942029,63.30686773645096
v12,361,data/processed/frames_v12_1fps/frame_000013.jpg,v11,21731,67.3282164972145,v11,21821,data/processed/frames_v11_1fps/frame_000729.jpg,5,0.9638319611549377,432,222,0.5138888888888888,59.48180805946381
v12,391,data/processed/frames_v12_1fps/frame_000014.jpg,v11,21851,58.94707115093817,v11,21821,data/processed/frames_v11_1fps/frame_000729.jpg,4,0.9673013091087341,408,233,0.571078431372549,57.911019217430145
v12,421,data/processed/frames_v12_1fps/frame_000015.jpg,v11,21851,58.02093983013932,v11,21821,data/processed/frames_v11_1fps/frame_000729.jpg,5,0.9701906442642212,384,218,0.5677083333333334,58.70239695055159
v12,451,data/processed/frames_v12_1fps/frame_000016.jpg,v11,21791,73.0421604387324,v11,21851,data/processed/frames_v11_1fps/frame_000730.jpg,3,0.9663910865783691,342,194,0.5672514619883041,65.6277011218546
v12,481,data/processed/frames_v12_1fps/frame_000017.jpg,v11,21791,85.9546403295342,v11,21851,data/processed/frames_v11_1fps/frame_000730.jpg,2,0.9681954383850098,313,176,0.5623003194888179,77.42695524748692
v12,511,data/processed/frames_v12_1fps/frame_000018.jpg,v11,21791,95.26737806161795,v11,21851,data/processed/frames_v11_1fps/frame_000730.jpg,2,0.9621188044548035,266,186,0.6992481203007519,85.58338934041386
v12,541,data/processed/frames_v12_1fps/frame_000019.jpg,v11,21851,92.08983651187759,v11,21851,data/processed/frames_v11_1fps/frame_000730.jpg,1,0.9639446139335632,255,158,0.6196078431372549,92.08983651187759
v12,570,data/processed/frames_v12_1fps/frame_000020.jpg,v11,22091,95.32807248411028,v11,21851,data/processed/frames_v11_1fps/frame_000730.jpg,9,0.9554397463798523,238,136,0.5714285714285714,96.99149523030145
v12,600,data/processed/frames_v12_1fps/frame_000021.jpg,v11,22091,87.88648849223496,v11,22001,data/processed/frames_v11_1fps/frame_000735.jpg,10,0.9615174531936646,335,150,0.44776119402985076,93.78480299858286
v12,630,data/processed/frames_v12_1fps/frame_000022.jpg,v11,22121,83.79247183559166,v11,22061,data/processed/frames_v11_1fps/frame_000737.jpg,4,0.9703863263130188,398,150,0.3768844221105528,80.66989216130868
v12,660,data/processed/frames_v12_1fps/frame_000023.jpg,v11,22121,81.26485133944473,v11,22031,data/processed/frames_v11_1fps/frame_000736.jpg,3,0.9692219495773315,342,149,0.43567251461988304,85.33892386262916
